
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. root, 2096, 2482, 648, 0, 0, 0, 0, 4, 75
.	. STAMP_10, 343, 389, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5, 93, 315, 38, 0, 0, 0, 0, 0, 0
.	. STAMP_10_0, 343, 379, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5_0, 93, 304, 38, 0, 0, 0, 0, 0, 0
.	. STAMP_10_1, 343, 382, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5_1, 93, 310, 38, 0, 0, 0, 0, 0, 0
.	. STAMP_10_2, 343, 382, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5_2, 93, 311, 38, 0, 0, 0, 0, 0, 0
.	. STAMP_10_3, 343, 381, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5_3, 93, 310, 38, 0, 0, 0, 0, 0, 0
.	. STAMP_10_4, 343, 382, 108, 0, 0, 0, 0, 0, 0
.	.	. spi_master_5_4, 93, 311, 38, 0, 0, 0, 0, 0, 0
.	. root_sb, 38, 187, 0, 0, 0, 0, 0, 3, 0
.	.	. CoreAPB3, 0, 173, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 166, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 38, 9, 0, 0, 0, 0, 0, 1, 0
.	.	. root_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. root_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. root_sb_MSS, 0, 5, 0, 0, 0, 0, 0, 0, 0
